Feature	ValueDescription	ValueID	Complexity	Justification
WALS 106A	Distinct from reflexive	2	2.0	A pair of linguemes
WALS 106A	Mixed	3	3.0	At least three linguemes for German type, which is cited asn an example
WALS 106A	Identical to reflexive	4	1.0	One lingueme
WALS 109A	Benefactive object; both bases	1	2.0	One lingueme for each base (assuming "benefactive" won't be extended), but explicit data for non-applicability to one base
WALS 109A	Benefactive object; only transitive	2	2.0	One lingueme for each base (assuming "benefactive" won't be extended), but explicit data for non-applicability to one base
WALS 109A	Benefactive and other; both bases	3	4.0	One lingueme for each base across at least two classes
WALS 109A	Benefactive and other; only transitive	4	4.0	One lingueme for each base across at least two classes
WALS 109A	Non-benefactive object; both bases	5	2.0	One lingueme for each base (assuming "non-benefactive" won't be extended), but explicit data for non-applicability to one base
WALS 109A	Non-benefactive object; only transitive	6	2.0	One lingueme for each base (assuming "non-benefactive" won't be extended), but explicit data for non-applicability to one base
WALS 109A	Non-benefactive object; only intransitive	7	2.0	One lingueme for each base (assuming "non-benefactive" won't be extended), but explicit data for non-applicability to one base
WALS 109A	No applicative construction	8	0.0	No cofinh
WALS 112A	Negative affix	1	1.0	One morpheme, one syntagmatic complexity
WALS 112A	Negative particle	2	1.0	One morpheme, one syntagmatic complexity
WALS 112A	Negative auxiliary verb	3	1.0	One morpheme, one syntagmatic complexity
WALS 112A	Negative word, unclear if verb or particle	4	1.0	One morpheme, one syntagmatic complexity
WALS 112A	Variation between negative word and affix	5	1.0	One morpheme, one syntagmatic complexity per construction (paradigmatic complexity not coded)
WALS 112A	Double negation	6	2.0	Two morphemes
WALS 115A	Predicate negation also present	1	1.0	One lingueme
WALS 115A	No predicate negation	2	1.0	One lingueme
WALS 115A	Mixed behaviour	3	2.0	Two linguemes to show mixed pattern
WALS 115A	Negative existential construction	4	1.0	One lingueme
WALS 116A	Question particle	1	1.0	One morpheme, one syntagmatic complexity
WALS 116A	Interrogative verb morphology	2	1.0	One morpheme, one syntagmatic complexity; ignoring possibility of parsing difficulty
WALS 116A	Mixture of previous two types	3	2.0	Two morphemes to transfer syntagmatic aspects of construction
WALS 116A	Interrogative word order	4	1.0	One coding change for transfer
WALS 116A	Absence of declarative morphemes	5	1.0	One coding change for transfer
WALS 116A	Interrogative intonation only	6	1.0	One coding change for transfer
WALS 116A	No interrogative-declarative distinction	7	0.0	No coding
WALS 119A	Different	1	2.0	Two linguemes
WALS 119A	Identical	2	1.0	One lingueme
WALS 120A	Impossible	1	1.0	One lingueme for copula
WALS 120A	Possible	2	2.0	Two linguemes for optionality
WALS 122A	Relative pronoun	1	1.0	One lingueme
WALS 122A	Non-reduction	2	1.0	One lingueme
WALS 122A	Pronoun-retention	3	2.0	Two linguemes (to make clear retention is a dedicated relativization strategy)
WALS 122A	Gap	4	1.0	One lingueme
WALS 124A	Subject is left implicit	1	1.0	One lingueme
WALS 124A	Subject is expressed overtly	2	1.0	One lingueme
WALS 124A	Both construction types exist	3	2.0	Two linguemes for mixed system
WALS 124A	Desiderative verbal affix	4	1.0	One lingueme
WALS 124A	Desiderative particle	5	1.0	One lingueme
WALS 129A	Identical	1	1.0	One lingueme
WALS 129A	Different	2	2.0	Two linguemes
WALS 88A	Demonstrative-Noun	1	1.0	One lingueme
WALS 88A	Noun-Demonstrative	2	1.0	One lingueme
WALS 88A	Demonstrative prefix	3	1.0	One lingueme
WALS 88A	Demonstrative suffix	4	1.0	One lingueme
WALS 88A	Demonstrative before and after Noun	5	2.0	Two linguemes for syntagmatic complexity
WALS 88A	Mixed	6	0.0	Dryer's discussion implies this usually mean free ordering
